1, OptIX-LA, Not an exchange, IPv4, Unicast, Unknown, 200.61.194.0/24, 0
285, Equinix-Denver, Planned, IPv4, Unicast, Unknown, 198.32.103.0/24, 0
285, Equinix-Denver, Planned, IPv4, Unicast, Unknown, 198.32.104.0/24, 0
286, OIX, Unknown, IPv4, Unicast, Unknown, 198.32.162.0/24, 0
286, OIX, Unknown, IPv4, Unicast, Unknown, 198.32.163.0/24, 0
287, HIX, Active, IPv4, Unicast, Unknown, , 8
288, Compaq-NAP, Active, IPv4, Unicast, Unknown, 198.32.228.0/24, 0
290, Houston MAP, Unknown, IPv4, Unicast, Unknown, , 0
291, MAE-Houston, Defunct, IPv4, , Unknown, 198.32.150.0/24, 0
292, Rice EduPOP, Active, IPv4, , Unknown, 206.223.129.0/24, 0
295, Calren2 South, Unknown, IPv4, , Unknown, 198.32.248.0/24, 0
296, Equinix Los Angeles IBX, Unknown, IPv4, Unicast, Unknown, , 0
297, LAIIX, Active, IPv4, Multicast, None, 198.32.146.0/24, 39
298, MAE-LA, Defunct, IPv4, Unicast, Unknown, 198.32.146.0/24, 0
299, PB-NAP-LA, Defunct, IPv4, Unicast, Unknown, 198.32.129.0/24, 0
299, PB-NAP-LA, Defunct, IPv4, Unicast, Unknown, , 0
300, Equinix-LA, Planned, IPv4, Unicast, Unknown, 198.32.241.0/24, 0
300, Equinix-LA, Planned, IPv4, Unicast, Unknown, 198.32.242.0/24, 0
300, Equinix-LA, Planned, IPv4, Multicast, Unknown, 198.32.243.0/24, 0
303, MadIX, Active, IPv4, Unicast, Unknown, 144.92.233.224/28, 21
304, ISI DMZ/Gigapop, Not an exchange, IPv4, , Unknown, 198.32.16.0/24, 0
305, BellSouth MIX, Defunct, IPv4, , Unknown, 206.223.128.0/24, 0
306, AMPATH, Not an exchange, IPv4, , Unknown, 198.32.252.0/24, 4
307, NOTA, Active, IPv4, Unicast, None, 198.32.124.0/23, 78
308, Equinix-Miami, Planned, IPv4, Unicast, Unknown, 198.32.100.0/24, 0
308, Equinix-Miami, Planned, IPv4, Unicast, Unknown, 198.32.101.0/24, 0
308, Equinix-Miami, Active, IPv4, Multicast, Unknown, 198.32.99.0/24, 0
309, Northern Lights GigaPoP, Not an exchange, IPv4, , None, , 0
310, AMES-MIX, Defunct, IPv4, Multicast, Unknown, 198.9.201.0/24, 0
311, MAE-West, Defunct, IPv4, Unicast, Unknown, 198.32.136.0/24, 0
311, MAE-West, Defunct, IPv4, Unicast, Unknown, 198.32.184.0/24, 0
312, NGIX-West, Unknown, IPv4, Unicast, Unknown, 198.32.152.0/24, 0
313, Nashville City Net, Unknown, IPv4, Unicast, Unknown, , 0
314, Nashville NAP, Unknown, IPv4, Unicast, Unknown, 198.32.169.0/24, 0
314, Nashville NAP, Unknown, IPv4, Unicast, Unknown, 198.32.168.0/24, 0
315, MAGPI, Active, IPv4, Unicast, Unknown, 198.32.42.0/24, 0
315, MAGPI, Active, IPv4, , Unknown, 198.32.224.0/24, 0
317, Equinix NY, Active, IPv4, , Unknown, 206.223.131.0/24, 0
317, Equinix NY, Active, IPv4, , Unknown, 206.197.169.0/24, 0
318, MAE-NY, Defunct, IPv4, Unicast, Unknown, 198.32.166.0/24, 0
319, MetroIX, Unknown, IPv4, Unicast, Unknown, 198.32.138.0/24, 0
320, NYIIX, Active, IPv4, Unicast, None, 198.32.160.0/24, 163
321, BIG APE, Active, IPv4, Unicast, Unknown, 198.32.238.0/24, 25
322, NY-RIX, Unknown, IPv4, Unicast, Unknown, 198.32.161.0/24, 0
323, Equinix-NY, Active, IPv4, Unicast, Unknown, 198.32.117.0/24, 0
323, Equinix-NY, Active, IPv4, Unicast, Unknown, 198.32.118.0/24, 0
323, Equinix-NY, Active, IPv4, Multicast, Unknown, 198.32.119.0/24, 0
324, OhioEP, Unknown, IPv4, , Unknown, 198.32.220.0/24, 0
325, Equinix- Palo Alto, Active, IPv4, , None, 198.32.176.0/24, 0
325, Equinix- Palo Alto, Active, IPv4, Unicast, Unknown, 198.32.175.0/24, 0
325, Equinix- Palo Alto, Active, IPv4, Multicast, Unknown, 198.32.177.0/24, 0
326, Sprint NAP, Defunct, IPv4, , Unknown, 192.157.69.0/24, 0
327, Equinix-Philly, Planned, IPv4, Multicast, Unknown, 198.32.105.0/24, 0
327, Equinix-Philly, Planned, IPv4, Unicast, Unknown, 198.32.106.0/24, 0
327, Equinix-Philly, Planned, IPv4, Unicast, Unknown, 198.32.107.0/24, 0
328, PHLIX, Active, IPv4, Unicast, Available, 206.126.228.0/24, 3
329, PhoenixNAP, Defunct, IPv4, , Unknown, 198.32.158.0/24, 0
330, 3ROX GigaPOP, Active, IPv4, Unicast, Unknown, , 0
331, PITX, Unknown, IPv4, Unicast, Unknown, 198.32.194.0/24, 7
332, NWAX, Unknown, IPv4, Multicast, Unknown, 198.32.196.0/24, 0
